               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10591,            0.074529,            0.056982,             0.60479,             0.05697,            0.037943,            0.013729,            0.087716,            0.061769,            0.050839,            0.070008,           0.0033325,           0.0033325
                   1,            0.087828,              0.0649,            0.045387,             0.75362,             0.12439,             0.12908,            0.059007,            0.074867,             0.05655,            0.040084,            0.039876,           0.0065338,           0.0065338
                   2,            0.080693,            0.060838,            0.038513,             0.71607,             0.16507,             0.18417,            0.093596,            0.068136,            0.053082,            0.033735,           0.0096116,           0.0096032,           0.0096032
                   3,            0.075039,            0.057981,            0.034029,             0.73675,              0.1899,             0.21863,             0.11784,             0.06387,            0.050967,            0.029769,            0.009406,            0.009406,            0.009406
                   4,            0.071728,            0.056083,            0.031388,             0.68528,             0.21273,             0.24302,              0.1344,            0.061579,            0.049619,             0.02766,            0.009406,            0.009406,            0.009406
                   5,            0.069787,             0.05471,            0.029917,             0.71685,             0.23083,             0.26176,             0.14588,            0.059837,            0.048699,            0.026206,            0.009208,            0.009208,            0.009208
                   6,            0.068562,            0.053887,            0.028865,             0.71749,              0.2375,             0.27511,             0.15556,            0.058856,            0.048059,            0.025358,             0.00901,             0.00901,             0.00901
                   7,            0.067368,            0.052877,             0.02787,             0.68496,             0.25723,             0.28869,             0.16483,            0.057957,            0.047491,            0.024599,            0.008812,            0.008812,            0.008812
                   8,            0.066642,             0.05251,            0.027255,             0.69402,              0.2673,             0.29952,             0.17129,            0.057132,            0.046978,            0.023934,            0.008614,            0.008614,            0.008614
                   9,            0.065938,            0.051524,            0.026772,             0.70355,              0.2729,             0.30691,             0.17677,            0.056606,            0.046676,            0.023598,            0.008416,            0.008416,            0.008416
                  10,            0.065316,            0.051338,            0.026247,             0.70272,             0.28379,              0.3149,             0.18176,            0.056089,            0.046331,            0.023262,            0.008218,            0.008218,            0.008218
                  11,            0.064784,             0.05107,            0.025746,             0.70978,             0.28886,             0.32367,             0.18773,            0.055626,            0.046073,            0.022781,             0.00802,             0.00802,             0.00802
                  12,             0.06436,            0.050573,             0.02544,             0.71415,             0.29387,             0.32812,             0.19062,            0.055178,            0.045841,            0.022392,            0.007822,            0.007822,            0.007822
                  13,            0.063855,            0.050221,            0.025106,             0.71849,             0.30007,             0.33221,             0.19368,            0.054842,            0.045622,            0.022244,            0.007624,            0.007624,            0.007624
                  14,            0.063597,            0.050124,            0.024831,             0.72952,             0.30092,             0.33802,             0.19768,            0.054525,            0.045412,            0.021976,            0.007426,            0.007426,            0.007426
                  15,            0.063036,            0.049453,            0.024523,             0.73807,             0.30317,             0.34131,             0.20028,            0.054206,            0.045241,            0.021695,            0.007228,            0.007228,            0.007228
                  16,            0.062885,            0.049539,             0.02431,              0.7352,             0.30747,             0.34476,             0.20299,            0.053991,            0.045039,            0.021538,             0.00703,             0.00703,             0.00703
                  17,            0.062515,            0.049193,            0.024056,             0.74711,             0.31021,             0.34844,             0.20552,            0.053788,            0.044894,            0.021376,            0.006832,            0.006832,            0.006832
                  18,            0.062209,             0.04879,            0.023872,             0.75082,             0.31197,              0.3516,             0.20801,            0.053532,            0.044746,            0.021257,            0.006634,            0.006634,            0.006634
                  19,            0.062011,            0.048626,            0.023617,             0.74758,              0.3152,             0.35367,             0.20975,            0.053433,            0.044658,            0.021132,            0.006436,            0.006436,            0.006436
                  20,            0.061734,              0.0483,            0.023439,             0.75032,             0.31724,             0.35656,             0.21146,            0.053248,            0.044551,            0.021008,            0.006238,            0.006238,            0.006238
                  21,            0.061508,            0.048161,             0.02325,             0.75494,             0.31803,             0.35825,              0.2128,            0.053084,            0.044465,            0.020917,             0.00604,             0.00604,             0.00604
                  22,            0.061267,            0.048038,            0.023087,             0.76087,             0.31874,             0.36051,             0.21486,            0.052942,            0.044368,            0.020856,            0.005842,            0.005842,            0.005842
                  23,            0.061041,            0.047752,            0.022918,             0.76337,             0.31943,             0.36228,             0.21597,            0.052841,            0.044303,            0.020755,            0.005644,            0.005644,            0.005644
                  24,            0.060758,            0.047594,            0.022667,             0.76799,             0.32098,             0.36448,             0.21733,            0.052714,            0.044229,            0.020687,            0.005446,            0.005446,            0.005446
                  25,            0.060639,            0.047561,            0.022541,             0.76335,             0.32265,             0.36579,             0.21824,             0.05261,            0.044183,            0.020636,            0.005248,            0.005248,            0.005248
                  26,            0.060425,            0.047259,            0.022414,              0.7666,             0.32327,             0.36629,             0.21889,            0.052522,            0.044132,            0.020568,             0.00505,             0.00505,             0.00505
                  27,            0.060304,            0.047231,             0.02232,             0.76383,             0.32501,              0.3671,             0.21975,            0.052431,            0.044083,            0.020499,            0.004852,            0.004852,            0.004852
                  28,            0.059986,            0.046816,            0.021956,             0.76372,             0.32514,             0.36741,             0.22049,            0.052356,             0.04404,            0.020444,            0.004654,            0.004654,            0.004654
                  29,            0.059896,            0.046875,            0.021901,             0.76158,             0.32717,             0.36862,             0.22118,            0.052301,            0.044001,            0.020401,            0.004456,            0.004456,            0.004456
                  30,            0.059663,            0.046219,            0.021779,              0.7647,             0.32732,             0.36936,             0.22193,            0.052238,            0.043966,            0.020359,            0.004258,            0.004258,            0.004258
                  31,            0.059442,             0.04628,            0.021599,             0.76646,             0.32753,             0.37028,             0.22252,            0.052187,            0.043931,            0.020323,             0.00406,             0.00406,             0.00406
                  32,            0.059263,            0.046199,            0.021402,             0.76898,             0.32709,             0.37084,             0.22298,             0.05214,            0.043901,            0.020296,            0.003862,            0.003862,            0.003862
                  33,            0.059116,            0.045889,            0.021293,              0.7706,             0.32787,             0.37149,             0.22336,            0.052096,            0.043868,             0.02027,            0.003664,            0.003664,            0.003664
                  34,            0.058829,            0.045663,            0.021146,             0.77001,             0.32897,             0.37249,             0.22402,            0.052055,            0.043838,            0.020249,            0.003466,            0.003466,            0.003466
                  35,            0.058789,            0.045701,             0.02103,             0.77579,             0.32801,             0.37306,              0.2245,            0.052018,            0.043812,            0.020232,            0.003268,            0.003268,            0.003268
                  36,            0.058384,            0.045067,            0.020832,             0.77326,             0.32876,             0.37338,             0.22485,            0.051984,            0.043788,            0.020212,             0.00307,             0.00307,             0.00307
                  37,            0.058364,            0.045225,            0.020727,             0.77467,             0.32889,              0.3736,             0.22514,            0.051952,            0.043765,            0.020195,            0.002872,            0.002872,            0.002872
                  38,            0.058122,            0.044913,            0.020566,             0.77531,             0.32896,             0.37409,             0.22555,            0.051923,            0.043742,            0.020177,            0.002674,            0.002674,            0.002674
                  39,            0.057935,            0.044595,            0.020464,             0.77341,             0.32986,             0.37467,             0.22595,            0.051893,            0.043721,            0.020162,            0.002476,            0.002476,            0.002476
                  40,            0.057756,            0.044405,            0.020225,             0.77448,             0.32964,             0.37487,             0.22624,            0.051867,            0.043702,            0.020148,            0.002278,            0.002278,            0.002278
                  41,            0.057601,            0.044111,            0.020115,             0.77365,             0.33076,             0.37552,             0.22662,             0.05184,            0.043681,            0.020135,             0.00208,             0.00208,             0.00208
                  42,            0.057573,            0.044433,            0.020203,             0.77286,             0.33113,             0.37573,             0.22702,            0.051814,            0.043661,            0.020122,            0.001882,            0.001882,            0.001882
                  43,            0.057544,            0.044338,            0.020047,             0.77114,              0.3318,             0.37577,             0.22717,            0.051788,            0.043642,            0.020111,            0.001684,            0.001684,            0.001684
                  44,            0.057272,            0.043703,            0.019936,             0.77092,             0.33244,             0.37642,              0.2275,            0.051761,            0.043624,            0.020099,            0.001486,            0.001486,            0.001486
                  45,            0.057073,             0.04372,            0.019821,             0.77052,             0.33287,             0.37685,             0.22769,            0.051735,            0.043609,            0.020087,            0.001288,            0.001288,            0.001288
                  46,            0.056822,            0.043371,            0.019598,             0.76999,             0.33399,              0.3773,             0.22807,             0.05171,            0.043594,            0.020076,             0.00109,             0.00109,             0.00109
                  47,            0.056603,            0.043141,            0.019377,             0.77019,             0.33396,             0.37759,             0.22828,            0.051686,            0.043581,            0.020067,            0.000892,            0.000892,            0.000892
                  48,            0.056669,            0.043196,            0.019353,             0.76991,             0.33389,             0.37761,             0.22858,            0.051663,            0.043569,            0.020058,            0.000694,            0.000694,            0.000694
                  49,            0.056492,            0.042919,            0.019272,             0.76928,             0.33414,             0.37766,             0.22881,            0.051642,             0.04356,            0.020052,            0.000496,            0.000496,            0.000496
