               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10704,            0.078514,            0.056197,             0.60654,            0.058454,            0.038033,            0.014076,            0.086914,            0.063937,            0.050814,            0.070008,           0.0033325,           0.0033325
                   1,            0.086975,            0.064831,             0.04505,             0.76153,              0.1334,             0.13825,            0.066393,            0.073344,            0.055366,            0.038868,            0.039876,           0.0065338,           0.0065338
                   2,            0.079687,            0.060445,            0.037701,             0.72553,             0.17014,             0.19234,             0.10073,             0.06681,            0.052323,             0.03267,           0.0096116,           0.0096032,           0.0096032
                   3,            0.073965,            0.057425,            0.033301,             0.74605,             0.19988,             0.22949,             0.12659,            0.062432,            0.050389,            0.028789,            0.009406,            0.009406,            0.009406
                   4,            0.070506,            0.055418,            0.030676,             0.72736,             0.22355,             0.25677,             0.14436,            0.060006,            0.048911,            0.026707,            0.009406,            0.009406,            0.009406
                   5,            0.068547,            0.053903,            0.029166,               0.734,             0.23981,             0.27262,             0.15464,            0.058527,            0.048001,            0.025544,            0.009208,            0.009208,            0.009208
                   6,            0.067311,            0.053075,            0.028127,             0.71534,             0.25715,             0.29109,             0.16698,            0.057532,            0.047247,            0.024497,             0.00901,             0.00901,             0.00901
                   7,            0.066009,            0.051965,            0.027047,             0.70357,             0.27171,             0.30457,             0.17563,            0.056546,            0.046642,            0.023739,            0.008812,            0.008812,            0.008812
                   8,            0.065281,            0.051592,            0.026422,             0.72345,              0.2802,             0.31727,             0.18511,            0.055751,            0.046133,            0.023104,            0.008614,            0.008614,            0.008614
                   9,            0.064555,            0.050554,            0.025909,             0.71167,             0.29476,             0.32696,             0.19088,            0.055172,            0.045866,            0.022544,            0.008416,            0.008416,            0.008416
                  10,            0.063921,             0.05038,            0.025409,             0.73229,             0.29436,             0.33501,             0.19611,            0.054672,            0.045425,            0.022316,            0.008218,            0.008218,            0.008218
                  11,            0.063369,            0.050061,            0.024888,             0.72869,             0.30425,             0.34128,             0.20058,            0.054187,            0.045203,            0.021806,             0.00802,             0.00802,             0.00802
                  12,            0.062927,            0.049571,            0.024603,             0.74379,             0.31008,             0.34777,             0.20521,            0.053766,            0.044932,            0.021468,            0.007822,            0.007822,            0.007822
                  13,            0.062372,            0.049118,            0.024214,             0.75731,             0.31019,             0.35428,             0.20989,             0.05333,            0.044688,            0.021191,            0.007624,            0.007624,            0.007624
                  14,            0.062066,            0.049013,            0.023913,             0.75822,              0.3149,             0.35783,             0.21379,            0.053092,            0.044486,            0.021029,            0.007426,            0.007426,            0.007426
                  15,            0.061534,            0.048326,            0.023563,             0.75781,              0.3185,              0.3603,             0.21593,             0.05271,            0.044243,            0.020828,            0.007228,            0.007228,            0.007228
                  16,            0.061373,            0.048411,            0.023387,             0.75861,             0.32253,             0.36485,             0.21775,            0.052457,            0.044081,            0.020631,             0.00703,             0.00703,             0.00703
                  17,            0.061005,             0.04804,             0.02313,             0.75037,             0.32945,              0.3684,             0.22078,            0.052273,            0.043977,            0.020427,            0.006832,            0.006832,            0.006832
