               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  18,            0.060649,            0.047621,            0.022932,             0.76358,               0.329,             0.37064,             0.22278,            0.052064,            0.043836,              0.0203,            0.006634,            0.006634,            0.006634
                  19,            0.060454,            0.047427,            0.022655,             0.76302,             0.32997,             0.37303,             0.22484,            0.051907,            0.043728,            0.020168,            0.006436,            0.006436,            0.006436
                  20,            0.060184,            0.047086,            0.022469,             0.76204,             0.33389,             0.37576,             0.22638,            0.051747,            0.043577,            0.020081,            0.006238,            0.006238,            0.006238
                  21,            0.059897,            0.047027,             0.02228,             0.76956,             0.33347,             0.37844,             0.22826,            0.051578,            0.043491,             0.01996,             0.00604,             0.00604,             0.00604
                  22,            0.059791,            0.046942,            0.022061,             0.77062,             0.33726,             0.38032,              0.2298,            0.051425,            0.043415,            0.019899,            0.005842,            0.005842,            0.005842
                  23,             0.05945,            0.046297,             0.02192,             0.77218,              0.3385,             0.38229,             0.23108,            0.051293,            0.043343,            0.019812,            0.005644,            0.005644,            0.005644
                  24,            0.059166,            0.046329,            0.021797,             0.76893,             0.34126,             0.38342,             0.23179,            0.051212,            0.043274,            0.019738,            0.005446,            0.005446,            0.005446
                  25,            0.058909,            0.045955,            0.021537,             0.76994,             0.34158,             0.38395,             0.23302,            0.051131,             0.04321,            0.019671,            0.005248,            0.005248,            0.005248
                  26,            0.058595,            0.045726,            0.021291,             0.76884,             0.34349,             0.38481,             0.23385,            0.051033,            0.043155,            0.019619,             0.00505,             0.00505,             0.00505
                  27,            0.058666,            0.045805,            0.021255,             0.76542,             0.34583,             0.38602,             0.23466,            0.050949,            0.043109,            0.019582,            0.004852,            0.004852,            0.004852
                  28,            0.058422,            0.045555,            0.021115,             0.76884,             0.34641,             0.38693,             0.23537,            0.050869,            0.043077,            0.019546,            0.004654,            0.004654,            0.004654
                  29,            0.058139,            0.045433,            0.020851,             0.77073,             0.34677,              0.3879,             0.23618,            0.050807,            0.043044,            0.019515,            0.004456,            0.004456,            0.004456
                  30,            0.057965,            0.045388,            0.020795,             0.77116,             0.34763,             0.38905,              0.2369,            0.050749,            0.043017,            0.019469,            0.004258,            0.004258,            0.004258
                  31,            0.057682,            0.044942,             0.02057,             0.77443,             0.34737,             0.38963,              0.2376,            0.050697,            0.042989,            0.019437,             0.00406,             0.00406,             0.00406
                  32,            0.057534,             0.04495,            0.020431,             0.77218,             0.34947,             0.39019,             0.23827,            0.050647,            0.042962,            0.019409,            0.003862,            0.003862,            0.003862
                  33,            0.057424,            0.044509,            0.020262,             0.77489,             0.34884,             0.39098,             0.23874,            0.050601,            0.042932,            0.019379,            0.003664,            0.003664,            0.003664
                  34,            0.057258,            0.044226,            0.020257,              0.7762,             0.34927,             0.39174,             0.23945,            0.050556,            0.042906,            0.019352,            0.003466,            0.003466,            0.003466
                  35,            0.056985,            0.044129,            0.019991,             0.77966,             0.34838,             0.39199,             0.24006,            0.050512,            0.042881,            0.019322,            0.003268,            0.003268,            0.003268
                  36,            0.056823,            0.044201,            0.019808,             0.78212,             0.34843,             0.39259,             0.24035,            0.050473,            0.042857,            0.019294,             0.00307,             0.00307,             0.00307
                  37,            0.056454,            0.043588,             0.01963,             0.78316,             0.34848,             0.39322,             0.24079,            0.050435,            0.042834,            0.019271,            0.002872,            0.002872,            0.002872
                  38,            0.056353,            0.043499,            0.019459,             0.78678,             0.34806,             0.39374,              0.2414,            0.050402,            0.042814,            0.019244,            0.002674,            0.002674,            0.002674
                  39,            0.056231,            0.043107,            0.019395,              0.7872,             0.34823,             0.39425,             0.24175,             0.05037,            0.042793,            0.019217,            0.002476,            0.002476,            0.002476
                  40,            0.056009,            0.042914,            0.019157,             0.78548,             0.34853,             0.39432,             0.24206,            0.050337,            0.042775,            0.019194,            0.002278,            0.002278,            0.002278
                  41,            0.055993,            0.043159,            0.019173,             0.78497,             0.34969,             0.39487,             0.24234,            0.050308,            0.042757,            0.019174,             0.00208,             0.00208,             0.00208
                  42,            0.055635,            0.042606,            0.018901,             0.78458,             0.35043,             0.39524,             0.24279,            0.050278,            0.042741,            0.019156,            0.001882,            0.001882,            0.001882
                  43,            0.055426,            0.042143,            0.018696,             0.78381,             0.35139,             0.39569,             0.24328,            0.050253,            0.042729,            0.019143,            0.001684,            0.001684,            0.001684
                  44,            0.055343,            0.042198,            0.018593,             0.78526,             0.35147,             0.39587,             0.24361,            0.050228,            0.042717,             0.01913,            0.001486,            0.001486,            0.001486
                  45,            0.055012,            0.041963,            0.018457,             0.78724,             0.35159,              0.3962,             0.24395,            0.050204,            0.042705,            0.019119,            0.001288,            0.001288,            0.001288
                  46,             0.05491,            0.041729,            0.018307,             0.78524,             0.35254,             0.39666,             0.24423,            0.050182,            0.042696,             0.01911,             0.00109,             0.00109,             0.00109
                  47,            0.054748,            0.041384,            0.018218,             0.78491,             0.35299,             0.39707,             0.24471,            0.050162,             0.04269,            0.019103,            0.000892,            0.000892,            0.000892
                  48,            0.054406,            0.040888,            0.017991,             0.78552,             0.35298,             0.39723,             0.24504,            0.050143,            0.042684,            0.019095,            0.000694,            0.000694,            0.000694
                  49,            0.054341,            0.041008,            0.017873,             0.78335,             0.35397,              0.3976,              0.2453,            0.050124,            0.042681,            0.019092,            0.000496,            0.000496,            0.000496
